basin_id,side,source_state_id,target_state_id,count,miss_count,control_count,mixed_label,source_R_face,target_R_face,source_front,target_front,source_chain_status,target_chain_status,source_transition_k,target_transition_k,source_residue32,target_residue32,bundle_string,delta_pattern,example_trajectory_ids
B001,mixed,S017,S012,40,14,26,mixed,64->63,32->29,lower_edge_front,lower_edge_front,avoid_then_caught,avoid_then_caught,1,3,0->31,0->29,band+R_before+R_after+transition_k+residue16+residue32,band:64-127->32-63|R_before:64->32|R_after:63->29|transition_k:1->3|exit_distance:0->0|front:lower_edge_front->lower_edge_front|chain_status:avoid_then_caught->avoid_then_caught|residue16:0->15->0->13|residue32:0->31->0->29,control:4551|control:4551|control:4551|control:4551|control:4551|control:4551|control:4551|control:4551|control:4551|control:4551
B001,miss_only,S020,S012,1,1,0,miss_only,67->61,32->29,near_exit_front,lower_edge_front,avoid_then_caught,avoid_then_caught,6,3,3->29,0->29,all_except_chain_status,band:64-127->32-63|R_before:67->32|R_after:61->29|transition_k:6->3|exit_distance:3->0|front:near_exit_front->lower_edge_front|chain_status:avoid_then_caught->avoid_then_caught|residue16:3->13->0->13|residue32:3->29->0->29,miss:5162
B001,miss_only,S021,S012,2,2,0,miss_only,67->62,32->29,near_exit_front,lower_edge_front,avoid_then_caught,avoid_then_caught,5,3,3->30,0->29,all_except_chain_status,band:64-127->32-63|R_before:67->32|R_after:62->29|transition_k:5->3|exit_distance:3->0|front:near_exit_front->lower_edge_front|chain_status:avoid_then_caught->avoid_then_caught|residue16:3->14->0->13|residue32:3->30->0->29,miss:50172|miss:50173
B001,miss_only,S023,S012,2,2,0,miss_only,67->63,32->29,near_exit_front,lower_edge_front,avoid_then_caught,avoid_then_caught,4,3,3->31,0->29,all_except_chain_status,band:64-127->32-63|R_before:67->32|R_after:63->29|transition_k:4->3|exit_distance:3->0|front:near_exit_front->lower_edge_front|chain_status:avoid_then_caught->avoid_then_caught|residue16:3->15->0->13|residue32:3->31->0->29,miss:50031|miss:763681
B001,miss_only,S026,S012,3,3,0,miss_only,68->63,32->29,near_exit_front,lower_edge_front,avoid,avoid_then_caught,5,3,4->31,0->29,all_features,band:64-127->32-63|R_before:68->32|R_after:63->29|transition_k:5->3|exit_distance:4->0|front:near_exit_front->lower_edge_front|chain_status:avoid->avoid_then_caught|residue16:4->15->0->13|residue32:4->31->0->29,miss:2289|miss:4578|miss:5152
B001,miss_only,S027,S012,1,1,0,miss_only,69->61,32->29,near_exit_front,lower_edge_front,avoid,avoid_then_caught,8,3,5->29,0->29,all_features,band:64-127->32-63|R_before:69->32|R_after:61->29|transition_k:8->3|exit_distance:5->0|front:near_exit_front->lower_edge_front|chain_status:avoid->avoid_then_caught|residue16:5->13->0->13|residue32:5->29->0->29,miss:618769
B001,miss_only,S029,S012,3,3,0,miss_only,70->63,32->29,near_exit_front,lower_edge_front,avoid,avoid_then_caught,7,3,6->31,0->29,all_features,band:64-127->32-63|R_before:70->32|R_after:63->29|transition_k:7->3|exit_distance:6->0|front:near_exit_front->lower_edge_front|chain_status:avoid->avoid_then_caught|residue16:6->15->0->13|residue32:6->31->0->29,miss:4579|miss:588592|miss:61239
B002,control_only,S017,S013,8,0,8,control_only,64->63,32->30,lower_edge_front,lower_edge_front,avoid_then_caught,avoid_then_caught,1,2,0->31,0->30,band+R_before+R_after+transition_k+residue16+residue32,band:64-127->32-63|R_before:64->32|R_after:63->30|transition_k:1->2|exit_distance:0->0|front:lower_edge_front->lower_edge_front|chain_status:avoid_then_caught->avoid_then_caught|residue16:0->15->0->14|residue32:0->31->0->30,control:555169|control:555169|control:555169|control:555169|control:555169|control:555169|control:555169|control:555169
B002,miss_only,S019,S013,2,2,0,miss_only,67->60,32->30,near_exit_front,lower_edge_front,avoid_then_caught,avoid_then_caught,7,2,3->28,0->30,all_except_chain_status,band:64-127->32-63|R_before:67->32|R_after:60->30|transition_k:7->2|exit_distance:3->0|front:near_exit_front->lower_edge_front|chain_status:avoid_then_caught->avoid_then_caught|residue16:3->12->0->14|residue32:3->28->0->30,miss:50130|miss:50131
B002,miss_only,S021,S013,1,1,0,miss_only,67->62,32->30,near_exit_front,lower_edge_front,avoid_then_caught,avoid_then_caught,5,2,3->30,0->30,all_except_chain_status,band:64-127->32-63|R_before:67->32|R_after:62->30|transition_k:5->2|exit_distance:3->0|front:near_exit_front->lower_edge_front|chain_status:avoid_then_caught->avoid_then_caught|residue16:3->14->0->14|residue32:3->30->0->30,miss:50139
B002,miss_only,S022,S013,1,1,0,miss_only,67->62,32->30,near_exit_front,lower_edge_front,caught,avoid_then_caught,5,2,3->30,0->30,all_features,band:64-127->32-63|R_before:67->32|R_after:62->30|transition_k:5->2|exit_distance:3->0|front:near_exit_front->lower_edge_front|chain_status:caught->avoid_then_caught|residue16:3->14->0->14|residue32:3->30->0->30,miss:23797
B002,miss_only,S024,S013,3,3,0,miss_only,68->61,32->30,near_exit_front,lower_edge_front,avoid,avoid_then_caught,7,2,4->29,0->30,all_features,band:64-127->32-63|R_before:68->32|R_after:61->30|transition_k:7->2|exit_distance:4->0|front:near_exit_front->lower_edge_front|chain_status:avoid->avoid_then_caught|residue16:4->13->0->14|residue32:4->29->0->30,miss:50114|miss:50115|miss:468724
B002,miss_only,S030,S013,1,1,0,miss_only,71->62,32->30,near_exit_front,lower_edge_front,avoid,avoid_then_caught,9,2,7->30,0->30,all_features,band:64-127->32-63|R_before:71->32|R_after:62->30|transition_k:9->2|exit_distance:7->0|front:near_exit_front->lower_edge_front|chain_status:avoid->avoid_then_caught|residue16:7->14->0->14|residue32:7->30->0->30,miss:50095
