position_pair,source_position,target_position,source_state_id,target_state_id,count,probability_from_source_within_position,basin_id,side,miss_count,control_count,mixed_label,source_band,target_band,source_R_face,target_R_face,source_front,target_front,source_chain_status,target_chain_status,source_transition_k,target_transition_k,source_residue32,target_residue32,bundle_string,delta_pattern,source_face,target_face,example_trajectory_ids
-5->-4,-5,-4,S006,S017,3,1.0,B001,miss_only,3,0,miss_only,128-255,64-127,131->127,64->63,near_exit_front,lower_edge_front,avoid_then_caught,avoid_then_caught,4,1,3->31,0->31,all_except_chain_status,band:128-255->64-127|R_before:131->64|R_after:127->63|transition_k:4->1|exit_distance:3->0|front:near_exit_front->lower_edge_front|chain_status:avoid_then_caught->avoid_then_caught|residue16:3->15->0->15|residue32:3->31->0->31,128-255|R:131->127|k:4|d:3|near_exit_front|avoid_then_caught|r32:3->31,64-127|R:64->63|k:1|d:0|lower_edge_front|avoid_then_caught|r32:0->31,miss:718402|miss:650801|miss:739108
-5->-4,-5,-4,S007,S017,2,1.0,B001,miss_only,2,0,miss_only,128-255,64-127,131->127,64->63,near_exit_front,lower_edge_front,caught,avoid_then_caught,4,1,3->31,0->31,all_features,band:128-255->64-127|R_before:131->64|R_after:127->63|transition_k:4->1|exit_distance:3->0|front:near_exit_front->lower_edge_front|chain_status:caught->avoid_then_caught|residue16:3->15->0->15|residue32:3->31->0->31,128-255|R:131->127|k:4|d:3|near_exit_front|caught|r32:3->31,64-127|R:64->63|k:1|d:0|lower_edge_front|avoid_then_caught|r32:0->31,miss:418097|miss:616906
-5->-4,-5,-4,S008,S017,2,1.0,B001,miss_only,2,0,miss_only,128-255,64-127,132->126,64->63,near_exit_front,lower_edge_front,avoid_then_caught,avoid_then_caught,6,1,4->30,0->31,all_except_chain_status,band:128-255->64-127|R_before:132->64|R_after:126->63|transition_k:6->1|exit_distance:4->0|front:near_exit_front->lower_edge_front|chain_status:avoid_then_caught->avoid_then_caught|residue16:4->14->0->15|residue32:4->30->0->31,128-255|R:132->126|k:6|d:4|near_exit_front|avoid_then_caught|r32:4->30,64-127|R:64->63|k:1|d:0|lower_edge_front|avoid_then_caught|r32:0->31,miss:412366|miss:514873
-5->-4,-5,-4,S009,S017,3,1.0,B001,miss_only,3,0,miss_only,128-255,64-127,133->127,64->63,near_exit_front,lower_edge_front,avoid_then_caught,avoid_then_caught,6,1,5->31,0->31,all_except_chain_status,band:128-255->64-127|R_before:133->64|R_after:127->63|transition_k:6->1|exit_distance:5->0|front:near_exit_front->lower_edge_front|chain_status:avoid_then_caught->avoid_then_caught|residue16:5->15->0->15|residue32:5->31->0->31,128-255|R:133->127|k:6|d:5|near_exit_front|avoid_then_caught|r32:5->31,64-127|R:64->63|k:1|d:0|lower_edge_front|avoid_then_caught|r32:0->31,miss:50041|miss:926647|miss:84447
-5->-4,-5,-4,S000,S017,8,0.5,B002,control_only,0,8,control_only,MISSING,64-127,,64->63,,lower_edge_front,,avoid_then_caught,,1,,0->31,all_features,band:MISSING->64-127|R_before:->64|R_after:->63|transition_k:->1|exit_distance:->0|front:->lower_edge_front|chain_status:->avoid_then_caught|residue16:->0->15|residue32:->0->31,MISSING|R:->|k:|d:|||r32:,64-127|R:64->63|k:1|d:0|lower_edge_front|avoid_then_caught|r32:0->31,control:555169|control:555169|control:555169|control:555169|control:555169|control:555169|control:555169|control:555169
-5->-4,-5,-4,S000,S019,2,0.125,B002,miss_only,2,0,miss_only,MISSING,64-127,,67->60,,near_exit_front,,avoid_then_caught,,7,,3->28,all_features,band:MISSING->64-127|R_before:->67|R_after:->60|transition_k:->7|exit_distance:->3|front:->near_exit_front|chain_status:->avoid_then_caught|residue16:->3->12|residue32:->3->28,MISSING|R:->|k:|d:|||r32:,64-127|R:67->60|k:7|d:3|near_exit_front|avoid_then_caught|r32:3->28,miss:50130|miss:50131
-5->-4,-5,-4,S000,S021,1,0.0625,B002,miss_only,1,0,miss_only,MISSING,64-127,,67->62,,near_exit_front,,avoid_then_caught,,5,,3->30,all_features,band:MISSING->64-127|R_before:->67|R_after:->62|transition_k:->5|exit_distance:->3|front:->near_exit_front|chain_status:->avoid_then_caught|residue16:->3->14|residue32:->3->30,MISSING|R:->|k:|d:|||r32:,64-127|R:67->62|k:5|d:3|near_exit_front|avoid_then_caught|r32:3->30,miss:50139
-5->-4,-5,-4,S000,S022,1,0.0625,B002,miss_only,1,0,miss_only,MISSING,64-127,,67->62,,near_exit_front,,caught,,5,,3->30,all_features,band:MISSING->64-127|R_before:->67|R_after:->62|transition_k:->5|exit_distance:->3|front:->near_exit_front|chain_status:->caught|residue16:->3->14|residue32:->3->30,MISSING|R:->|k:|d:|||r32:,64-127|R:67->62|k:5|d:3|near_exit_front|caught|r32:3->30,miss:23797
-5->-4,-5,-4,S000,S024,3,0.1875,B002,miss_only,3,0,miss_only,MISSING,64-127,,68->61,,near_exit_front,,avoid,,7,,4->29,all_features,band:MISSING->64-127|R_before:->68|R_after:->61|transition_k:->7|exit_distance:->4|front:->near_exit_front|chain_status:->avoid|residue16:->4->13|residue32:->4->29,MISSING|R:->|k:|d:|||r32:,64-127|R:68->61|k:7|d:4|near_exit_front|avoid|r32:4->29,miss:50114|miss:50115|miss:468724
-5->-4,-5,-4,S000,S030,1,0.0625,B002,miss_only,1,0,miss_only,MISSING,64-127,,71->62,,near_exit_front,,avoid,,9,,7->30,all_features,band:MISSING->64-127|R_before:->71|R_after:->62|transition_k:->9|exit_distance:->7|front:->near_exit_front|chain_status:->avoid|residue16:->7->14|residue32:->7->30,MISSING|R:->|k:|d:|||r32:,64-127|R:71->62|k:9|d:7|near_exit_front|avoid|r32:7->30,miss:50095
-5->-4,-5,-4,S000,S021,3,1.0,B003,miss_only,3,0,miss_only,MISSING,64-127,,67->62,,near_exit_front,,avoid_then_caught,,5,,3->30,all_features,band:MISSING->64-127|R_before:->67|R_after:->62|transition_k:->5|exit_distance:->3|front:->near_exit_front|chain_status:->avoid_then_caught|residue16:->3->14|residue32:->3->30,MISSING|R:->|k:|d:|||r32:,64-127|R:67->62|k:5|d:3|near_exit_front|avoid_then_caught|r32:3->30,miss:93260|miss:373032|miss:981221
-5->-4,-5,-4,S001,S021,1,1.0,B003,miss_only,1,0,miss_only,128-255,64-127,128->127,67->62,lower_edge_front,near_exit_front,caught,avoid_then_caught,1,5,0->31,3->30,all_features,band:128-255->64-127|R_before:128->67|R_after:127->62|transition_k:1->5|exit_distance:0->3|front:lower_edge_front->near_exit_front|chain_status:caught->avoid_then_caught|residue16:0->15->3->14|residue32:0->31->3->30,128-255|R:128->127|k:1|d:0|lower_edge_front|caught|r32:0->31,64-127|R:67->62|k:5|d:3|near_exit_front|avoid_then_caught|r32:3->30,miss:805887
-5->-4,-5,-4,S003,S017,4,1.0,B003,control_only,0,4,control_only,128-255,64-127,129->127,64->63,lower_edge_front,lower_edge_front,caught,avoid_then_caught,2,1,1->31,0->31,all_except_front,band:128-255->64-127|R_before:129->64|R_after:127->63|transition_k:2->1|exit_distance:1->0|front:lower_edge_front->lower_edge_front|chain_status:caught->avoid_then_caught|residue16:1->15->0->15|residue32:1->31->0->31,128-255|R:129->127|k:2|d:1|lower_edge_front|caught|r32:1->31,64-127|R:64->63|k:1|d:0|lower_edge_front|avoid_then_caught|r32:0->31,control:50331|control:50331|control:50331|control:50331
-5->-4,-5,-4,S000,S018,12,0.521739,B004,control_only,0,12,control_only,MISSING,64-127,,65->63,,lower_edge_front,,avoid_then_caught,,2,,1->31,all_features,band:MISSING->64-127|R_before:->65|R_after:->63|transition_k:->2|exit_distance:->1|front:->lower_edge_front|chain_status:->avoid_then_caught|residue16:->1->15|residue32:->1->31,MISSING|R:->|k:|d:|||r32:,64-127|R:65->63|k:2|d:1|lower_edge_front|avoid_then_caught|r32:1->31,control:618657|control:618657|control:618657|control:618657|control:618657|control:618657|control:618657|control:618657|control:618657|control:618657
-5->-4,-5,-4,S000,S019,1,0.043478,B004,miss_only,1,0,miss_only,MISSING,64-127,,67->60,,near_exit_front,,avoid_then_caught,,7,,3->28,all_features,band:MISSING->64-127|R_before:->67|R_after:->60|transition_k:->7|exit_distance:->3|front:->near_exit_front|chain_status:->avoid_then_caught|residue16:->3->12|residue32:->3->28,MISSING|R:->|k:|d:|||r32:,64-127|R:67->60|k:7|d:3|near_exit_front|avoid_then_caught|r32:3->28,miss:603011
-5->-4,-5,-4,S000,S021,2,0.086957,B004,miss_only,2,0,miss_only,MISSING,64-127,,67->62,,near_exit_front,,avoid_then_caught,,5,,3->30,all_features,band:MISSING->64-127|R_before:->67|R_after:->62|transition_k:->5|exit_distance:->3|front:->near_exit_front|chain_status:->avoid_then_caught|residue16:->3->14|residue32:->3->30,MISSING|R:->|k:|d:|||r32:,64-127|R:67->62|k:5|d:3|near_exit_front|avoid_then_caught|r32:3->30,miss:4771|miss:452335
-5->-4,-5,-4,S000,S023,2,0.086957,B004,miss_only,2,0,miss_only,MISSING,64-127,,67->63,,near_exit_front,,avoid_then_caught,,4,,3->31,all_features,band:MISSING->64-127|R_before:->67|R_after:->63|transition_k:->4|exit_distance:->3|front:->near_exit_front|chain_status:->avoid_then_caught|residue16:->3->15|residue32:->3->31,MISSING|R:->|k:|d:|||r32:,64-127|R:67->63|k:4|d:3|near_exit_front|avoid_then_caught|r32:3->31,miss:50296|miss:50298
-5->-4,-5,-4,S000,S025,2,0.086957,B004,miss_only,2,0,miss_only,MISSING,64-127,,68->62,,near_exit_front,,avoid,,6,,4->30,all_features,band:MISSING->64-127|R_before:->68|R_after:->62|transition_k:->6|exit_distance:->4|front:->near_exit_front|chain_status:->avoid|residue16:->4->14|residue32:->4->30,MISSING|R:->|k:|d:|||r32:,64-127|R:68->62|k:6|d:4|near_exit_front|avoid|r32:4->30,miss:50236|miss:50237
-5->-4,-5,-4,S000,S028,1,0.043478,B004,miss_only,1,0,miss_only,MISSING,64-127,,69->62,,near_exit_front,,avoid,,7,,5->30,all_features,band:MISSING->64-127|R_before:->69|R_after:->62|transition_k:->7|exit_distance:->5|front:->near_exit_front|chain_status:->avoid|residue16:->5->14|residue32:->5->30,MISSING|R:->|k:|d:|||r32:,64-127|R:69->62|k:7|d:5|near_exit_front|avoid|r32:5->30,miss:688089
-5->-4,-5,-4,S000,S029,3,0.130435,B004,miss_only,3,0,miss_only,MISSING,64-127,,70->63,,near_exit_front,,avoid,,7,,6->31,all_features,band:MISSING->64-127|R_before:->70|R_after:->63|transition_k:->7|exit_distance:->6|front:->near_exit_front|chain_status:->avoid|residue16:->6->15|residue32:->6->31,MISSING|R:->|k:|d:|||r32:,64-127|R:70->63|k:7|d:6|near_exit_front|avoid|r32:6->31,miss:50270|miss:50271|miss:476655
-5->-4,-5,-4,S002,S021,1,1.0,B004,miss_only,1,0,miss_only,128-255,64-127,129->127,67->62,lower_edge_front,near_exit_front,avoid_then_caught,avoid_then_caught,2,5,1->31,3->30,all_except_chain_status,band:128-255->64-127|R_before:129->67|R_after:127->62|transition_k:2->5|exit_distance:1->3|front:lower_edge_front->near_exit_front|chain_status:avoid_then_caught->avoid_then_caught|residue16:1->15->3->14|residue32:1->31->3->30,128-255|R:129->127|k:2|d:1|lower_edge_front|avoid_then_caught|r32:1->31,64-127|R:67->62|k:5|d:3|near_exit_front|avoid_then_caught|r32:3->30,miss:694878
