position_pair,source_position,target_position,source_state_id,target_state_id,count,probability_from_source_within_position,basin_id,side,miss_count,control_count,mixed_label,source_band,target_band,source_R_face,target_R_face,source_front,target_front,source_chain_status,target_chain_status,source_transition_k,target_transition_k,source_residue32,target_residue32,bundle_string,delta_pattern,source_face,target_face,example_trajectory_ids
-4->-3,-4,-3,S024,S013,3,1.0,B002,miss_only,3,0,miss_only,64-127,32-63,68->61,32->30,near_exit_front,lower_edge_front,avoid,avoid_then_caught,7,2,4->29,0->30,all_features,band:64-127->32-63|R_before:68->32|R_after:61->30|transition_k:7->2|exit_distance:4->0|front:near_exit_front->lower_edge_front|chain_status:avoid->avoid_then_caught|residue16:4->13->0->14|residue32:4->29->0->30,64-127|R:68->61|k:7|d:4|near_exit_front|avoid|r32:4->29,32-63|R:32->30|k:2|d:0|lower_edge_front|avoid_then_caught|r32:0->30,miss:50114|miss:50115|miss:468724
-4->-3,-4,-3,S030,S013,1,1.0,B002,miss_only,1,0,miss_only,64-127,32-63,71->62,32->30,near_exit_front,lower_edge_front,avoid,avoid_then_caught,9,2,7->30,0->30,all_features,band:64-127->32-63|R_before:71->32|R_after:62->30|transition_k:9->2|exit_distance:7->0|front:near_exit_front->lower_edge_front|chain_status:avoid->avoid_then_caught|residue16:7->14->0->14|residue32:7->30->0->30,64-127|R:71->62|k:9|d:7|near_exit_front|avoid|r32:7->30,32-63|R:32->30|k:2|d:0|lower_edge_front|avoid_then_caught|r32:0->30,miss:50095
-4->-3,-4,-3,S017,S013,4,1.0,B003,control_only,0,4,control_only,64-127,32-63,64->63,32->30,lower_edge_front,lower_edge_front,avoid_then_caught,avoid_then_caught,1,2,0->31,0->30,band+R_before+R_after+transition_k+residue16+residue32,band:64-127->32-63|R_before:64->32|R_after:63->30|transition_k:1->2|exit_distance:0->0|front:lower_edge_front->lower_edge_front|chain_status:avoid_then_caught->avoid_then_caught|residue16:0->15->0->14|residue32:0->31->0->30,64-127|R:64->63|k:1|d:0|lower_edge_front|avoid_then_caught|r32:0->31,32-63|R:32->30|k:2|d:0|lower_edge_front|avoid_then_caught|r32:0->30,control:50331|control:50331|control:50331|control:50331
-4->-3,-4,-3,S021,S013,4,1.0,B003,miss_only,4,0,miss_only,64-127,32-63,67->62,32->30,near_exit_front,lower_edge_front,avoid_then_caught,avoid_then_caught,5,2,3->30,0->30,all_except_chain_status,band:64-127->32-63|R_before:67->32|R_after:62->30|transition_k:5->2|exit_distance:3->0|front:near_exit_front->lower_edge_front|chain_status:avoid_then_caught->avoid_then_caught|residue16:3->14->0->14|residue32:3->30->0->30,64-127|R:67->62|k:5|d:3|near_exit_front|avoid_then_caught|r32:3->30,32-63|R:32->30|k:2|d:0|lower_edge_front|avoid_then_caught|r32:0->30,miss:93260|miss:373032|miss:805887|miss:981221
-4->-3,-4,-3,S018,S014,12,1.0,B004,control_only,0,12,control_only,64-127,32-63,65->63,33->31,lower_edge_front,lower_edge_front,avoid_then_caught,avoid_then_caught,2,2,1->31,1->31,band+R_before+R_after,band:64-127->32-63|R_before:65->33|R_after:63->31|transition_k:2->2|exit_distance:1->1|front:lower_edge_front->lower_edge_front|chain_status:avoid_then_caught->avoid_then_caught|residue16:1->15->1->15|residue32:1->31->1->31,64-127|R:65->63|k:2|d:1|lower_edge_front|avoid_then_caught|r32:1->31,32-63|R:33->31|k:2|d:1|lower_edge_front|avoid_then_caught|r32:1->31,control:618657|control:618657|control:618657|control:618657|control:618657|control:618657|control:618657|control:618657|control:618657|control:618657
-4->-3,-4,-3,S019,S014,1,1.0,B004,miss_only,1,0,miss_only,64-127,32-63,67->60,33->31,near_exit_front,lower_edge_front,avoid_then_caught,avoid_then_caught,7,2,3->28,1->31,all_except_chain_status,band:64-127->32-63|R_before:67->33|R_after:60->31|transition_k:7->2|exit_distance:3->1|front:near_exit_front->lower_edge_front|chain_status:avoid_then_caught->avoid_then_caught|residue16:3->12->1->15|residue32:3->28->1->31,64-127|R:67->60|k:7|d:3|near_exit_front|avoid_then_caught|r32:3->28,32-63|R:33->31|k:2|d:1|lower_edge_front|avoid_then_caught|r32:1->31,miss:603011
-4->-3,-4,-3,S021,S014,3,1.0,B004,miss_only,3,0,miss_only,64-127,32-63,67->62,33->31,near_exit_front,lower_edge_front,avoid_then_caught,avoid_then_caught,5,2,3->30,1->31,all_except_chain_status,band:64-127->32-63|R_before:67->33|R_after:62->31|transition_k:5->2|exit_distance:3->1|front:near_exit_front->lower_edge_front|chain_status:avoid_then_caught->avoid_then_caught|residue16:3->14->1->15|residue32:3->30->1->31,64-127|R:67->62|k:5|d:3|near_exit_front|avoid_then_caught|r32:3->30,32-63|R:33->31|k:2|d:1|lower_edge_front|avoid_then_caught|r32:1->31,miss:4771|miss:452335|miss:694878
-4->-3,-4,-3,S023,S014,2,1.0,B004,miss_only,2,0,miss_only,64-127,32-63,67->63,33->31,near_exit_front,lower_edge_front,avoid_then_caught,avoid_then_caught,4,2,3->31,1->31,all_except_chain_status,band:64-127->32-63|R_before:67->33|R_after:63->31|transition_k:4->2|exit_distance:3->1|front:near_exit_front->lower_edge_front|chain_status:avoid_then_caught->avoid_then_caught|residue16:3->15->1->15|residue32:3->31->1->31,64-127|R:67->63|k:4|d:3|near_exit_front|avoid_then_caught|r32:3->31,32-63|R:33->31|k:2|d:1|lower_edge_front|avoid_then_caught|r32:1->31,miss:50296|miss:50298
-4->-3,-4,-3,S025,S014,2,1.0,B004,miss_only,2,0,miss_only,64-127,32-63,68->62,33->31,near_exit_front,lower_edge_front,avoid,avoid_then_caught,6,2,4->30,1->31,all_features,band:64-127->32-63|R_before:68->33|R_after:62->31|transition_k:6->2|exit_distance:4->1|front:near_exit_front->lower_edge_front|chain_status:avoid->avoid_then_caught|residue16:4->14->1->15|residue32:4->30->1->31,64-127|R:68->62|k:6|d:4|near_exit_front|avoid|r32:4->30,32-63|R:33->31|k:2|d:1|lower_edge_front|avoid_then_caught|r32:1->31,miss:50236|miss:50237
-4->-3,-4,-3,S028,S014,1,1.0,B004,miss_only,1,0,miss_only,64-127,32-63,69->62,33->31,near_exit_front,lower_edge_front,avoid,avoid_then_caught,7,2,5->30,1->31,all_features,band:64-127->32-63|R_before:69->33|R_after:62->31|transition_k:7->2|exit_distance:5->1|front:near_exit_front->lower_edge_front|chain_status:avoid->avoid_then_caught|residue16:5->14->1->15|residue32:5->30->1->31,64-127|R:69->62|k:7|d:5|near_exit_front|avoid|r32:5->30,32-63|R:33->31|k:2|d:1|lower_edge_front|avoid_then_caught|r32:1->31,miss:688089
